Date,Name,Year,Letterboxd URI
2024-01-01,Oppenheimer,2023,https://letterboxd.com/film/oppenheimer/
2024-01-05,Interstellar,2014,https://letterboxd.com/film/interstellar/
2024-01-10,Inception,2010,https://letterboxd.com/film/inception/
2024-01-15,The Dark Knight,2008,https://letterboxd.com/film/the-dark-knight/
2024-01-20,Dune: Part Two,2024,https://letterboxd.com/film/dune-part-two/
2024-01-25,Dune,2021,https://letterboxd.com/film/dune-2021/
2024-02-01,Blade Runner 2049,2017,https://letterboxd.com/film/blade-runner-2049/
2024-02-05,Pulp Fiction,1994,https://letterboxd.com/film/pulp-fiction/
2024-02-10,Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/
2024-02-15,Once Upon a Time in Hollywood,2019,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
2024-02-20,Barbie,2023,https://letterboxd.com/film/barbie/
2024-02-25,Little Women,2019,https://letterboxd.com/film/little-women-2019/
2024-03-01,Killers of the Flower Moon,2023,https://letterboxd.com/film/killers-of-the-flower-moon/
2024-03-05,The Wolf of Wall Street,2013,https://letterboxd.com/film/the-wolf-of-wall-street/
2024-03-10,Parasite,2019,https://letterboxd.com/film/parasite-2019/
2024-03-15,Poor Things,2023,https://letterboxd.com/film/poor-things/
2024-03-20,La La Land,2016,https://letterboxd.com/film/la-la-land/
2024-03-25,Whiplash,2014,https://letterboxd.com/film/whiplash-2014/
2024-04-01,Get Out,2017,https://letterboxd.com/film/get-out/
2024-04-05,Nope,2022,https://letterboxd.com/film/nope/
2024-04-10,Fight Club,1999,https://letterboxd.com/film/fight-club/
2024-04-15,The Social Network,2010,https://letterboxd.com/film/the-social-network/
2024-04-20,The Grand Budapest Hotel,2014,https://letterboxd.com/film/the-grand-budapest-hotel/
2024-04-25,Spirited Away,2001,https://letterboxd.com/film/spirited-away/
